timestamp,seq,rssi,file_size,status,client_ip
2026-02-17T12:10:02.812415,25,-67,512000,success,192.168.179.4
2026-02-17T12:10:07.625185,26,-67,512000,success,192.168.179.4
2026-02-17T12:10:11.505661,27,-67,512000,success,192.168.179.4
2026-02-17T12:10:15.706466,28,-68,512000,success,192.168.179.4
2026-02-17T12:10:19.801225,29,-65,512000,success,192.168.179.4
2026-02-17T12:10:23.690565,30,-71,512000,success,192.168.179.4
2026-02-17T12:10:28.721285,31,-72,512000,success,192.168.179.4
2026-02-17T12:10:33.111783,32,-64,512000,success,192.168.179.4
2026-02-17T12:10:37.315722,33,-69,512000,success,192.168.179.4
2026-02-17T12:10:40.996404,34,-67,512000,success,192.168.179.4
2026-02-17T12:10:45.302302,35,-71,512000,success,192.168.179.4
2026-02-17T12:10:49.604379,36,-68,512000,success,192.168.179.4
2026-02-17T12:10:54.409693,37,-73,512000,success,192.168.179.4
2026-02-17T12:11:01.793258,38,-73,512000,success,192.168.179.4
2026-02-17T12:11:07.415004,39,-75,512000,success,192.168.179.4
2026-02-17T12:11:12.126346,40,-73,512000,success,192.168.179.4
2026-02-17T12:11:16.628139,41,-70,512000,success,192.168.179.4
2026-02-17T12:11:20.865858,42,-68,512000,success,192.168.179.4
2026-02-17T12:11:25.850552,43,-68,512000,success,192.168.179.4
2026-02-17T12:11:30.774027,44,-71,512000,success,192.168.179.4
2026-02-17T12:11:41.043344,45,-81,512000,success,192.168.179.4
2026-02-17T12:11:50.180748,46,-72,512000,success,192.168.179.4
2026-02-17T12:11:58.945975,47,-80,512000,success,192.168.179.4
2026-02-17T12:12:05.064996,48,-80,512000,success,192.168.179.4
2026-02-17T12:12:10.083352,49,-69,512000,success,192.168.179.4
2026-02-17T12:12:14.586951,50,-66,512000,success,192.168.179.4
2026-02-17T12:12:18.682142,51,-66,512000,success,192.168.179.4
2026-02-17T12:12:23.384600,52,-79,512000,success,192.168.179.4
2026-02-17T12:12:31.392653,53,-79,512000,success,192.168.179.4
2026-02-17T12:12:36.400941,54,-70,512000,success,192.168.179.4
2026-02-17T12:12:40.499925,55,-68,512000,success,192.168.179.4
2026-02-17T12:12:44.821641,56,-75,512000,success,192.168.179.4
2026-02-17T12:12:52.258274,57,-78,512000,success,192.168.179.4
2026-02-17T12:12:57.288266,58,-67,512000,success,192.168.179.4
2026-02-17T12:13:01.896426,59,-70,512000,success,192.168.179.4
2026-02-17T12:13:06.320615,60,-66,512000,success,192.168.179.4
2026-02-17T12:13:10.502471,61,-75,512000,success,192.168.179.4
2026-02-17T12:13:15.935133,62,-75,512000,success,192.168.179.4
2026-02-17T12:13:20.640375,63,-74,512000,success,192.168.179.4
2026-02-17T12:13:25.361625,64,-74,512000,success,192.168.179.4
2026-02-17T12:13:29.958871,65,-68,512000,success,192.168.179.4
2026-02-17T12:13:34.779423,66,-76,512000,success,192.168.179.4
2026-02-17T12:13:40.297935,67,-71,512000,success,192.168.179.4
2026-02-17T12:13:45.831128,68,-67,512000,success,192.168.179.4
2026-02-17T12:13:50.239033,69,-71,512000,success,192.168.179.4
2026-02-17T12:16:35.914882,127,-56,512000,success,192.168.179.4
2026-02-17T12:16:40.423666,128,-60,512000,success,192.168.179.4
2026-02-17T12:16:44.845143,129,-56,512000,success,192.168.179.4
2026-02-17T12:16:49.145575,130,-63,512000,success,192.168.179.4
2026-02-17T12:16:55.605512,131,-77,512000,success,192.168.179.4
2026-02-17T12:19:04.952567,1,-52,512000,success,192.168.179.4
2026-02-17T12:19:10.963514,2,-54,512000,success,192.168.179.4
2026-02-17T12:19:15.272204,3,-57,512000,success,192.168.179.4
2026-02-17T12:19:19.578293,4,-56,512000,success,192.168.179.4
2026-02-17T12:19:23.860930,5,-51,512000,success,192.168.179.4
2026-02-17T12:19:27.856381,6,-57,512000,success,192.168.179.4
2026-02-17T12:19:32.272770,7,-60,512000,success,192.168.179.4
2026-02-17T12:19:37.391075,8,-68,512000,success,192.168.179.4
2026-02-17T12:19:41.615289,9,-61,512000,success,192.168.179.4
2026-02-17T12:19:46.867409,10,-72,512000,success,192.168.179.4
2026-02-17T12:20:10.889996,11,-87,512000,success,192.168.179.4
2026-02-17T12:20:34.276654,12,-81,512000,success,192.168.179.4
2026-02-17T12:21:38.304837,13,-73,512000,success,192.168.179.4
2026-02-17T12:21:43.838745,14,-72,512000,success,192.168.179.4
2026-02-17T12:21:48.545034,15,-73,512000,success,192.168.179.4
2026-02-17T12:21:53.356367,16,-69,512000,success,192.168.179.4
2026-02-17T12:21:57.400207,17,-67,512000,success,192.168.179.4
2026-02-17T12:22:01.363244,18,-59,512000,success,192.168.179.4
2026-02-17T12:22:05.239626,19,-75,512000,success,192.168.179.4
2026-02-17T12:22:09.348959,20,-63,512000,success,192.168.179.4
2026-02-17T12:22:13.221019,21,-69,512000,success,192.168.179.4
2026-02-17T12:22:17.111471,22,-54,512000,success,192.168.179.4
2026-02-17T12:22:21.003426,23,-72,512000,success,192.168.179.4
2026-02-17T12:22:25.817102,24,-75,512000,success,192.168.179.4
2026-02-17T12:22:30.427802,25,-67,512000,success,192.168.179.4
2026-02-17T12:22:35.146982,26,-61,512000,success,192.168.179.4
2026-02-17T12:22:39.255100,27,-57,512000,success,192.168.179.4
2026-02-17T12:22:43.279262,28,-63,512000,success,192.168.179.4
2026-02-17T12:22:47.834899,29,-57,512000,success,192.168.179.4
2026-02-17T12:22:51.735918,30,-57,512000,success,192.168.179.4
2026-02-17T12:22:57.213890,31,-72,512000,success,192.168.179.4
